"","fecha","tc_promedio_mes","i_productividad_us","i_ipc_us","i_empleo_arg","i_manuf_arg","i_productividad_arg","i_caba","ipc_arg_b","ipc_us_b","ipt_arg_b","ipt_us_b","tcp_arbitrario","sobrevaluacion","tcp_definitivo"
"64",2007-06-01,3.079265,0.944858594784648,0.850086143243909,0.916780038653157,1.09395221885547,1.19325484056415,NA,NA,6.32525205432314,6.1239965376314,4.37534594773785,NA,NA,NA
"65",2007-07-01,3.11162857142857,0.947073238319666,0.851599803101157,0.922072109149295,1.08773047089801,1.1796587925228,NA,NA,6.33651477186971,6.05421919560835,4.38560127236538,NA,NA,NA
"66",2007-08-01,3.15235909090909,0.951384988982248,0.851862334892116,0.927421367667877,1.10458967363901,1.1910332370459,NA,NA,6.33846819713524,6.11259487237831,4.40556764711533,NA,NA,NA
"67",2007-09-01,3.147455,0.95569673964483,0.855472147017803,0.932770626186459,1.1082794096957,1.18815856608478,NA,NA,6.36532779453626,6.09784154860009,4.42553402186528,NA,NA,NA
"68",2007-10-01,3.16044545454545,0.960008490307411,0.858109771105095,0.938119884705041,1.15453904281077,1.23069456434534,NA,NA,6.38495361400088,6.31614387365011,4.44550039661523,NA,NA,NA
"69",2007-11-01,3.13591428571429,0.958894526018966,0.864853556485356,0.943832310049028,1.16490959924005,1.23423365235244,NA,NA,6.43513222550916,6.33430710413961,4.44034197485532,NA,NA,NA
"70",2007-12-01,3.13965,0.95778056173052,0.867359914677168,0.949544735393016,1.18235845660391,1.24518457375737,NA,NA,6.45378133234101,6.39050918477476,4.43518355309541,NA,NA,NA
"71",2008-01-01,3.14441818181818,0.956666597442074,0.870350315858561,0.955257160737003,1.05325846217531,1.102591538139,NA,NA,6.47603206700618,5.65869630899009,4.4300251313355,NA,NA,NA
"72",2008-02-01,3.15831428571429,0.952846247847677,0.872454672245467,0.960382062201306,1.04468591851309,1.08778158154948,NA,NA,6.49168999140018,5.58268897192048,4.41233428192264,NA,NA,NA
"73",2008-03-01,3.15583888888889,0.949025898253281,0.87557633932234,0.965506963665608,1.04232484643562,1.07956222550521,NA,NA,6.51491743869812,5.5405057716136,4.39464343250977,NA,NA,NA
"74",2008-04-01,3.16654285714286,0.945205548658884,0.877602756583805,0.97063186512991,1.14581895883198,1.18048768023768,NA,NA,6.52999543996642,6.05847319510909,4.37695258309691,NA,NA,NA
"75",2008-05-01,3.1511,0.937513521418387,0.882795963573714,0.972336503717359,1.13643327036173,1.16876540787784,NA,NA,6.56863663350017,5.99831240388119,4.34133320004598,NA,NA,NA
"76",2008-06-01,3.04335,0.929821494177891,0.892046107145787,0.974041142304808,1.11816628351009,1.14796617406145,NA,NA,6.6374643518403,5.89156702850375,4.30571381699505,NA,NA,NA
"77",2008-07-01,3.02234545454545,0.922129466937394,0.898416605135778,0.975745780892256,1.16996923095056,1.19905128350204,NA,NA,6.68486543679916,6.15374491599573,4.27009443394413,NA,NA,NA
"78",2008-08-01,3.033275,0.909715258588715,0.89707933382558,0.973305984296731,1.17146940604755,1.20359827736393,NA,NA,6.67491517685287,6.17708089898969,4.21260810054717,NA,NA,NA
"79",2008-09-01,3.08236363636364,0.897301050240035,0.897846418902289,0.970866187701205,1.17178022072314,1.20694307368728,NA,NA,6.68062284130059,6.19424698992595,4.15512176715022,NA,NA,NA
"80",2008-10-01,3.23852272727273,0.884886841891356,0.890126343424399,0.96842639110568,1.08509283047602,1.12047011568648,NA,NA,6.62317992958612,5.75045235579294,4.09763543375327,NA,NA,NA
"81",2008-11-01,3.32917368421053,0.877528489895296,0.874366231848388,0.963749759350128,1.06245634877566,1.10241931421295,NA,NA,6.50591336911482,5.65781242510292,4.06356119686142,NA,NA,NA
"82",2008-12-01,3.42263333333333,0.870170137899236,0.867167117893182,0.959073127594575,1.03309548717745,1.07718114234785,NA,NA,6.45234678566163,5.52828562842559,4.02948695996957,NA,NA,NA
"83",2009-01-01,3.46401428571429,0.862811785903176,0.869361719583231,0.954396495839023,0.925691340922736,0.969923239406855,NA,NA,6.46867619999067,4.97781895197472,3.99541272307772,NA,NA,NA
"84",2009-02-01,3.511515,0.86771244489218,0.872528509311674,0.950121958307453,0.940641535716298,0.990021888760425,NA,NA,6.49223939225611,5.08096880301084,4.0181061489164,NA,NA,NA
"85",2009-03-01,3.65397142857143,0.872613103881185,0.87166707687259,0.945847420775883,0.920717915397,0.973431755664915,NA,NA,6.4858297156036,4.99582528279876,4.04079957475508,NA,NA,NA
"86",2009-04-01,3.69337368421053,0.877513762870189,0.872544917548609,0.941572883244313,1.02360310967653,1.0871204214692,NA,NA,6.49236148133521,5.57929578053772,4.06349300059376,NA,NA,NA
"87",2009-05-01,3.72447368421053,0.8934481454129,0.873828862088769,0.942014140075963,1.01646918929733,1.07903814396603,NA,NA,6.50191495177444,5.53781609173781,4.13728016459141,NA,NA,NA
"88",2009-06-01,3.76813333333333,0.909382527955611,0.881081302814013,0.942455396907613,1.0243067745441,1.08684907307556,NA,NA,6.55587832473468,5.5779031722141,4.21106732858905,NA,NA,NA
"89",2009-07-01,3.80973333333333,0.925316910498322,0.880818771023054,0.942896653739263,1.07137668853787,1.1362609934918,NA,NA,6.55392489946915,5.83149395538974,4.28485449258669,NA,NA,NA
"90",2009-08-01,3.839175,0.934231075482773,0.883768151612109,0.944529999310415,1.0849412711981,1.14865729197611,NA,NA,6.57587041143658,5.89511396883254,4.32613321498755,NA,NA,NA
"91",2009-09-01,3.84236818181818,0.943145240467225,0.885474608253343,0.946163344881568,1.09850096476562,1.16100562414318,NA,NA,6.58856767566252,5.9584878105853,4.36741193738841,NA,NA,NA
"92",2009-10-01,3.82620952380952,0.952059405451676,0.888132742636804,0.947796690452721,1.11010563791461,1.17124869615693,NA,NA,6.60834610647601,6.01105708197186,4.40869065978928,NA,NA,NA
"93",2009-11-01,3.81095,0.960348921547564,0.891106735581262,0.950432534597039,1.11337292223025,1.1714381417954,NA,NA,6.63047475206208,6.01202935075688,4.44707682768683,NA,NA,NA
"94",2009-12-01,3.80701904761905,0.968638437643452,0.891570268274674,0.953068378741358,1.11029065607084,1.16496432033252,NA,NA,6.63392376854653,5.97880454506054,4.48546299558439,NA,NA,NA
"95",2010-01-01,3.80416,0.976927953739339,0.892148658626631,0.955704222885676,1.02014525019648,1.06742779383796,NA,NA,6.63822740858465,5.47822970535333,4.52384916348194,NA,NA,NA
"96",2010-02-01,3.851235,0.984973482561519,0.891299532365247,0.958731560541993,1.03283362223028,1.07729177252326,NA,NA,6.63190929874145,5.52885340220545,4.56110550228632,NA,NA,NA
"97",2010-03-01,3.86274090909091,0.993019011383697,0.891594880630076,0.961758898198309,1.04221804618672,1.08365833488948,NA,NA,6.63410690216517,5.56152773509894,4.5983618410907,NA,NA,NA
"98",2010-04-01,3.87607,1.00106454020588,0.891799983591763,0.964786235854626,1.14756853634237,1.18945367760748,NA,NA,6.63563301565387,6.10448829178627,4.63561817989509,NA,NA,NA
"99",2010-05-01,3.90197368421053,1.00283363983732,0.891336450898351,0.967313131434644,1.16745530039647,1.20690525379821,NA,NA,6.63218399916942,6.19405289151394,4.64381032943609,NA,NA,NA
"100",2010-06-01,3.92652380952381,1.00460273946876,0.890963163508081,0.969840027014663,1.17860705871713,1.2152592447077,NA,NA,6.62940647261999,6.23692706194757,4.6520024789771,NA,NA,NA
"101",2010-07-01,3.93482380952381,1.00637183910021,0.892628599556978,0.972366922594682,1.19717179824383,1.23119346249384,NA,NA,6.64179851414819,6.31870430787607,4.66019462851811,NA,NA,NA
"102",2010-08-01,3.93760952380952,1.00777075965222,0.893933054393305,0.974335826880501,1.20261794216878,1.23429510543522,NA,NA,6.65150459593629,6.33462249231436,4.66667259400654,NA,NA,NA
"103",2010-09-01,3.95189090909091,1.00916968020424,0.89537697924358,0.976304731166321,1.20179557373154,1.23096358684634,NA,NA,6.6622484348967,6.31752454507809,4.67315055949498,NA,NA,NA
"104",2010-10-01,3.95698421052632,1.01056860075625,0.898494544261219,0.978273635452141,1.21647392893676,1.24349045589328,NA,NA,6.68544535992486,6.38181466992234,4.67962852498341,NA,NA,NA
"105",2010-11-01,3.9676,1.01172115786628,0.900771187135942,0.983070228877612,1.2347083232631,1.25597163558985,NA,NA,6.70238521964937,6.44587030887637,4.68496565808326,NA,NA,NA
"106",2010-12-01,3.977625,1.01287371497631,0.904389203380097,0.987866822303083,1.2385739622179,1.25378637510098,NA,NA,6.72930586158995,6.43465516252814,4.6903027911831,NA,NA,NA
"107",2011-01-01,3.98130952380952,1.01402627208634,0.907322175732218,0.992663415728554,1.12711414751843,1.13544443127402,NA,NA,6.75112928447828,5.82730321253711,4.69563992428295,NA,NA,NA
"108",2011-02-01,4.02196,1.01154421114936,0.910238739847403,0.997237908853829,1.11742102748875,1.12051599479712,NA,NA,6.77283061828752,5.75068781556663,4.68414627293388,NA,NA,NA
"109",2011-03-01,4.03723157894737,1.00906215021239,0.914947903847732,1.0018124019791,1.12669399434553,1.12465566619031,NA,NA,6.80787018398795,5.77193334704661,4.67265262158482,NA,NA,NA
"110",2011-04-01,4.06547894736842,1.00658008927542,0.919242759865452,1.00638689510438,1.2624428063444,1.25443088784802,NA,NA,6.83982700044122,6.43796291682937,4.66115897023576,NA,NA,NA
"111",2011-05-01,4.08388571428571,1.00904308445031,0.922167528099106,1.00977121932986,1.28050022590364,1.26810925226554,NA,NA,6.86158937879,6.50816272116766,4.67256433397721,NA,NA,NA
